_id.courseId,_id.sectionId,_id.unitId,user,total_time
26,1,3,13161,98342
26,1,3,1921,15927
26,1,3,12267,2173
26,1,3,12267,14253
26,1,3,13639,8009
26,1,3,1374,10835
26,1,3,4785,14069
26,1,3,14015,7681
26,1,3,14015,4880
26,1,3,14015,711
26,1,3,14015,2195
26,1,3,14827,15177
26,1,3,5199,2322
26,1,3,5199,10451
26,1,3,5199,6740
26,1,3,5199,3590
26,1,3,5199,8380
26,1,3,15347,10186
26,1,3,1983,11517
26,1,3,15980,8276
26,1,3,15971,8960
26,1,3,16102,15946
26,1,3,16102,1218
26,1,3,16102,6157
26,1,3,1182,13060
26,1,3,11628,4590
26,1,3,11628,8528
26,1,3,11628,14754
26,1,3,11628,9943
26,1,3,2,984
26,1,3,318,10578
26,1,3,17784,16749
26,1,3,17784,1542
26,1,3,17784,6705
26,1,4,1921,230016
26,1,4,12267,21037
26,1,4,13639,17350
26,1,4,1374,26686
26,1,4,4785,16840
26,1,4,14015,14400
26,1,4,14015,320
26,1,4,14015,2911
26,1,4,14827,37242
26,1,4,5199,29006
26,1,4,5199,1142
26,1,4,5199,12030
26,1,4,15347,17498
26,1,4,1983,19216
26,1,4,15980,16803
26,1,4,15971,18985
26,1,4,16102,13574
26,1,4,16102,62201
26,1,4,1182,22601
26,1,4,11628,7635
26,1,4,11628,31380
26,1,4,2,540
26,1,4,318,23522
26,1,4,17784,34212
26,1,4,17784,905
26,1,4,17784,8610
26,1,5,1921,39445
26,1,5,1921,11799
26,1,5,1,9340
26,1,5,12267,16247
26,1,5,13639,16087
26,1,5,1374,57737
26,1,5,4785,18743
26,1,5,14015,11436
26,1,5,14015,495
26,1,5,14015,1035
26,1,5,14827,54867
26,1,5,5199,16446
26,1,5,5199,1074
26,1,5,5199,20773
26,1,5,15347,15353
26,1,5,1983,19439
26,1,5,15980,16618
26,1,5,15971,3375
26,1,5,16102,91908
26,1,5,1182,15026
26,1,5,11628,21514
26,1,5,2,550
26,1,5,318,46561
26,1,5,17784,39619
26,1,5,17784,1444
26,1,5,17784,19479
26,1,6,1921,491
26,1,6,1921,3328
26,1,6,1921,64341
26,1,6,1921,9553
26,1,6,12267,38101
26,1,6,13639,14723
26,1,6,1374,32437
26,1,6,4785,16344
26,1,6,14015,7935
26,1,6,14015,12339
26,1,6,14827,22289
26,1,6,5199,13538
26,1,6,5199,23218
26,1,6,15347,11581
26,1,6,1983,18891
26,1,6,15980,9600
26,1,6,15971,718
26,1,6,16102,34753
26,1,6,1182,21887
26,1,6,11628,17369
26,1,6,2,509
26,1,6,318,15500
26,1,6,17784,24093
26,1,6,17784,19103
26,1,7,1921,2133
26,1,7,1921,40116
26,1,7,1921,98369
26,1,7,12267,29675
26,1,7,13639,16932
26,1,7,1374,33396
26,1,7,4785,15873
26,1,7,14015,15560
26,1,7,14827,22431
26,1,7,5199,29198
26,1,7,15347,16435
26,1,7,1983,47648
26,1,7,15980,18746
26,1,7,15971,733
26,1,7,16102,18969
26,1,7,1182,26688
26,1,7,11628,25141
26,1,7,2,465
26,1,7,318,21883
26,1,7,17784,16405
26,2,10,1921,27987
26,2,10,12267,35567
26,2,10,1374,18228
26,2,10,14015,13838
26,2,10,14827,32274
26,2,10,5199,18083
26,2,10,15347,15828
26,2,10,1983,9971
26,2,10,15980,15118
26,2,10,15971,1288
26,2,10,16102,17126
26,2,10,1182,15460
26,2,10,2,548
26,2,10,318,19420
26,2,10,17784,16474
26,2,10,1502,39949
26,2,2,1921,33048
26,2,2,12267,82212
26,2,2,1374,22792
26,2,2,4785,11655
26,2,2,14015,10124
26,2,2,2909,6540
26,2,2,14827,22952
26,2,2,5199,20920
26,2,2,15347,18897
26,2,2,1983,32713
26,2,2,15980,15586
26,2,2,15971,10806
26,2,2,16102,32864
26,2,2,1182,32367
26,2,2,11628,23691
26,2,2,2,575
26,2,2,318,24686
26,2,2,17784,18872
26,2,3,1921,15782
26,2,3,12267,29706
26,2,3,1374,15249
26,2,3,4785,7653
26,2,3,14015,7035
26,2,3,14827,22642
26,2,3,5199,46792
26,2,3,15347,10418
26,2,3,1983,11689
26,2,3,15980,10233
26,2,3,15971,6246
26,2,3,16102,18320
26,2,3,1182,13678
26,2,3,11628,13227
26,2,3,2,534
26,2,3,318,16702
26,2,3,17784,27955
26,2,4,1921,674268
26,2,4,12267,57517
26,2,4,1374,24792
26,2,4,4785,12630
26,2,4,14015,17036
26,2,4,14827,15772
26,2,4,5199,17972
26,2,4,15347,58751
26,2,4,1983,36128
26,2,4,15980,9214
26,2,4,15971,1442
26,2,4,16102,20280
26,2,4,1182,48262
26,2,4,11628,21594
26,2,4,2,484
26,2,4,318,22775
26,2,4,17784,27345
26,2,6,1921,28665
26,2,6,12267,64788
26,2,6,1374,24813
26,2,6,4785,29182
26,2,6,14015,9519
26,2,6,14827,12761
26,2,6,5199,101815
26,2,6,15347,12413
26,2,6,1983,23568
26,2,6,15980,14380
26,2,6,15971,1413
26,2,6,16102,23553
26,2,6,1182,230105
26,2,6,2,623
26,2,6,318,9912
26,2,6,17784,22058
26,2,7,1921,174981
26,2,7,12267,56989
26,2,7,1374,34190
26,2,7,14015,24410
26,2,7,14827,35694
26,2,7,5199,32478
26,2,7,15347,35235
26,2,7,1983,15791
26,2,7,15980,19325
26,2,7,15971,669
26,2,7,16102,72068
26,2,7,1182,222304
26,2,7,2,642
26,2,7,318,34693
26,2,7,17784,1218805
26,2,8,1921,214630
26,2,8,1,9226
26,2,8,12267,74064
26,2,8,1374,43756
26,2,8,14015,28310
26,2,8,14015,4506436
26,2,8,14827,43384
26,2,8,5199,27642
26,2,8,15347,20764
26,2,8,1983,23692
26,2,8,15980,24656
26,2,8,15971,1513
26,2,8,16102,30176
26,2,8,1182,28725914
26,2,8,2,509
26,2,8,318,28661
26,2,8,17784,34428
26,3,2,1921,14864
26,3,2,12267,7948
26,3,2,1374,8257
26,3,2,14015,8761
26,3,2,14827,11532
26,3,2,5199,9329
26,3,2,15347,8428
26,3,2,1983,11156
